album_id,album_name,release_date,
1,Mourning In The Morning,2005-02-08,
2,Long Way Home,1996-01-01,
3,Calling All Blues  The Chief Profile  USA Recordings 19571963,1957-01-01,
4,More Real Folk Blues,1966-08-03,
5,Rockin With Reed,1959-01-01,
6,Shake Your Moneymaker The Best of the Fire Sessions,2001-01-01,
7,Presenting Magic Sam,1987-05-19,
8,I Got To Find Me A Woman,2010-03-23,
9,The Complete Prestige  Bluesville Recordings,1991-01-01,
10,Poet Of the Blues Mojo Workin Blues For The Next Generation,1947-01-01,
11,The Complete Capitol  Black  White Recordings,1995-01-01,
12,The Excello Singles Anthology,1989-07-01,
13,Chicago Bound,1976-02-03,
14,Koko Taylor,1987-01-01,
15,The Biggest Thing Since Colossus,1969-01-01,
16,The Essential Little Walter,1993-06-08,
17,Alabama Blues,1979-01-01,
18,King Of The Electric Blues,1977-01-01,
19,Presenting Memphis Slim,1989-07-21,
20,Hound Dog Taylor  The Houserockers,1971-08-01,
21,Burnin,1962-01-01,
22,Father Of The Delta Blues The Complete 1965 Sessions,1992-06-18,
23,Wicked Grin,2001-01-01,
24,Ball n Chain,1989-01-01,
25,Big Bill Broonzy Sings Folk Songs,1989-10-01,
26,Moanin In The Moonlight,1958-03-01,
27,Two Bugs and a Roach,1990-01-01,
28,Hung Down Head,2004-12-05,
29,Getting Ready... World,1971-01-01,
30,Deep In The Blues,1996-01-01,
31,Blues From The Gutter,1958-01-01,
32,I Hear You Knockin,1992-11-29,
33,Born Under A Bad Sign Mono,1967-01-01,
34,The Paul Butterfield Blues Band,1965-01-01,
35,Back Where I Belong,1993-01-01,
36,Blues On The South Side,1963-11-30,
37,Big Walter Horton w Carey Bell,1972-01-01,
38,New Orleans Street Singer,2005-08-30,
39,Rediscovered,1998-01-01,
40,Slidin the Blues Blues Reference,1991-07-27,
41,Parchman Farm,1970-08-24,
42,Bad News Is Coming,2001-01-01,
43,Too Wet to Plow,1975-01-01,
44,Somebody Loan Me A Dime,1974-01-01,
45,Presenting Blind Boy Fuller,1989-12-29,
46,The Blue Horizon Story 1965  1970 Vol.1,2005-09-26,
