song_id,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,artist_id,album_id
4Gia17DzXBhYFbYiJj6SyW,Working Man,51,0.633,0.625,-10.951,0.0436,0.492,0.000418,0.204,0.841,103.355,147800,blues,1,1
1BjYNhg7JhVfQdxqEThBwn,Long Way Home,38,0.728,0.054,-22.557,0.038,0.91,0.048,0.12,0.425,78.033,338333,blues,2,2
2Cg3GUkhjX96nO4p2WRlIa,Shes A Sweet One,49,0.705,0.483,-12.209,0.0542,0.15,0.0265,0.202,0.713,122.863,181786,blues,3,3
5bC6ONDsL88snGN6QasjZH,Help Me,59,0.745,0.436,-9.617,0.043,0.597,0.0213,0.61,0.771,114.216,188200,blues,4,4
2TKykeHeVKsBqZC8M3SKcN,Take Out Some Insurance,51,0.747,0.288,-14.435,0.0513,0.663,0,0.122,0.566,111.33,143332,blues,5,5
25UAiv8lEZzSrcl7Z6dVHd,The Sky Is Crying,21,0.294,0.611,-6.268,0.0348,0.0226,0.435,0.114,0.567,178.191,166400,blues,6,6
3VFz6GOOIzNY5RH7HcOud7,All Your Love,27,0.689,0.725,-7.759,0.0974,0.839,0.365,0.103,0.83,120.9,176173,blues,7,7
2XTJ2EuVxwtjInqDdAPrKM,Kindhearted Woman Blues,35,0.706,0.247,-10.349,0.0573,0.939,0.000522,0.104,0.477,101.674,162400,blues,8,8
5CdoLhKBjtDUTnA0EdJCfk,Back To New Orleans,47,0.629,0.275,-17.572,0.0606,0.889,0.00747,0.107,0.666,81.98,201733,blues,9,9
2PcbVKT28p9mOlWBDL371J,I Cant Quit You Baby,49,0.469,0.236,-16.981,0.0364,0.407,0.0434,0.215,0.415,82.232,399173,blues,10,10
53zNJpvUZ7DsHkgFedfhfD,Call It Stormy Monday But Tuesday Is Just As Bad,43,0.621,0.134,-15.836,0.0496,0.853,0.0568,0.0412,0.44,103.782,183027,blues,11,11
4BbLz6pVP5oXl2plR7HLMZ,Baby Scratch My Back  Single Version,52,0.802,0.455,-11.673,0.0537,0.803,0.585,0.0607,0.932,122.853,173600,blues,12,12
36ccrof5DFicLrejE4hEye,Walking By Myself,50,0.621,0.519,-13.328,0.102,0.837,0.00246,0.162,0.775,117.005,167267,blues,13,13
1cXc92MX9kFjMrrDsvdf9w,Wang Dang Doodle,53,0.648,0.544,-8.963,0.179,0.343,2.93E-06,0.087,0.619,153.063,182827,blues,14,14
6wDGgiUZIpC7eCgrSoguie,Aint Nobodys Business,37,0.515,0.105,-17.303,0.0521,0.309,0.00291,0.0852,0.177,138.763,311933,blues,15,15
4KMXlzvtC8xjLseDqDjpeU,My Babe,59,0.676,0.334,-10.572,0.0508,0.862,0,0.32,0.867,158,162040,blues,16,16
21EwgINgOx9iiYo7Sj1HCM,Alabama Blues,42,0.675,0.308,-8.081,0.0348,0.824,3.75E-05,0.0607,0.69,97.446,194373,blues,17,17
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,62,0.598,0.735,-10.882,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,blues,18,18
6GTwnddVVGUdXlHtQ6ffb1,Lonesome,29,0.638,0.614,-6.683,0.0572,0.868,0.00305,0.0583,0.857,159.049,147453,blues,19,19
65dalI2zUxJy2ITurZAaUb,Give Me Back My Wig,40,0.642,0.708,-13.402,0.0543,0.0346,0.0103,0.0844,0.775,108.143,215800,blues,20,20
2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,63,0.441,0.455,-14.207,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,blues,21,21
0W0euvQlhbcsTydzsD4EQk,Death Letter Blues,40,0.803,0.288,-15.418,0.0629,0.865,0.0593,0.0833,0.865,115.685,259160,blues,22,22
2uQfgaV796QLHJCVOP4bn1,9.65E+02,44,0.8,0.563,-9.661,0.0902,0.202,0.112,0.247,0.778,126.318,282093,blues,23,23
5Oc0vLGWdEWeCqIU8zyELt,Hound Dog,57,0.563,0.542,-10.862,0.0962,0.706,3.59E-05,0.355,0.785,133.285,181000,blues,24,24
1Bqxrcrx2q1nrHDn4aWTV4,Glory of Love,40,0.604,0.108,-19.051,0.0421,0.88,0.0158,0.125,0.852,164.702,203533,blues,25,25
2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin,61,0.661,0.342,-16.361,0.043,0.844,0.000128,0.26,0.588,146.118,188400,blues,26,26
